COUNTRY,CO2
US, 1,396,791 
Canada, 137,820 
Mexico, 129,942 
Argentina, 53,548 
Brazil, 122,082 
Chile, 24,779 
Colombia, 21,981 
Ecuador, 9,514 
Peru, 17,805 
Trinidad & Tobago, 12,836 
Venezuela, 56,600 
Austria, 16,312 
Azerbaijan, 13,897 
Belarus, 16,907 
Belgium, 27,051 
Bulgaria, 12,414 
Czech Republic, 28,288 
Denmark, 10,008 
Finland, 13,055 
France, 93,713 
Germany, 199,716 
Greece, 22,290 
Hungary, 12,675 
Republic of Ireland, 9,890 
Italy, 102,369 
Kazakhstan, 79,617 
Lithuania, 3,718 
Netherlands, 45,421 
Norway, 15,835 
Poland, 83,895 
Portugal, 14,368 
Romania, 22,211 
Russian Federation, 491,840 
Slovakia, 9,689 
Spain, 75,677 
Sweden, 12,233 
Switzerland, 10,366 
Turkey, 84,861 
Turkmenistan, 15,059 
Ukraine, 88,384 
United Kingdom, 128,494 
Uzbekistan, 30,048 
Iran, 164,498 
Israel, 20,928 
Kuwait, 26,358 
Qatar, 24,663 
Saudi Arabia, 137,878 
United Arab Emirates, 46,721 
Algeria, 37,670 
Egypt, 58,650 
South Africa, 125,742 
Other Africa, 108,881 
Total Africa, 330,942 
Australia, 101,147 
Bangladesh, 17,707 
China, 2,625,730 
China Hong Kong SAR, 10,483 
India, 611,226 
Indonesia, 129,988 
Japan, 342,270 
Malaysia, 58,953 
New Zealand, 8,852 
Pakistan, 44,052 
Philippines, 23,625 
Singapore, 3,588 
South Korea, 166,679 
Taiwan, 71,559 
Thailand, 88,044 
Vietnam, 44,625 